x y C
25 12 62.0
25 13 67.0
25 14 68.0
25 15 57.0
25 16 59.0
25 17 53.0
25 18 49.0
25 19 53.0
25 20 39.0
25 21 37.0
25 22 34.0
25 23 23.0
25 24 20.0
25 25 13.0
25 26 7.0
25 27 9.0
25 28 16.0
25 29 15.0
25 30 4.0
25 31 2.0
25 32 2.0
25 33 2.0
25 34 2.0
25 35 9.0
25 36 15.0
25 37 16.0
25 38 20.0
25 39 24.0
25 40 27.0
25 41 31.0
25 42 36.0
25 43 40.0
25 44 36.0
25 45 37.0
25 46 43.0
25 47 52.0
26 0 40.0
26 1 27.0
26 2 38.0
26 3 43.0
26 4 29.0
26 5 33.0
26 6 43.0
26 7 56.0
26 8 55.0
26 9 61.0
26 10 66.0
26 11 71.0
26 12 70.0
26 13 75.0
26 14 76.0
26 15 65.0
26 16 67.0
26 17 61.0
26 18 57.0
26 19 61.0
26 20 47.0
26 21 45.0
26 22 42.0
26 23 31.0
26 24 28.0
26 25 21.0
26 26 15.0
26 27 17.0
26 28 24.0
26 29 23.0
26 30 12.0
26 31 6.0
26 32 6.0
26 33 10.0
26 34 10.0
26 35 17.0
26 36 23.0
26 37 24.0
26 38 28.0
26 39 32.0
26 40 35.0
26 41 39.0
26 42 44.0
26 43 48.0
26 44 44.0
26 45 45.0
26 46 51.0
26 47 60.0
27 0 41.0
27 1 28.0
27 2 39.0
27 3 44.0
27 4 30.0
27 5 34.0
27 6 44.0
27 7 57.0
27 8 56.0
27 9 62.0
27 10 67.0
27 11 72.0
27 12 71.0
27 13 76.0
27 14 77.0
27 15 66.0
27 16 68.0
27 17 62.0
27 18 58.0
27 19 62.0
27 20 48.0
27 21 46.0
27 22 43.0
27 23 32.0
27 24 29.0
27 25 22.0
27 26 16.0
27 27 18.0
27 28 25.0
27 29 24.0
27 30 13.0
27 31 7.0
27 32 7.0
27 33 11.0
27 34 11.0
27 35 18.0
27 36 24.0
27 37 25.0
27 38 29.0
27 39 33.0
27 40 36.0
27 41 40.0
27 42 45.0
27 43 49.0
27 44 45.0
27 45 46.0
27 46 52.0
27 47 61.0
28 0 42.0
28 1 29.0
28 2 40.0
28 3 45.0
28 4 31.0
28 5 35.0
28 6 45.0
28 7 58.0
28 8 57.0
28 9 63.0
28 10 68.0
28 11 73.0
28 12 72.0
28 13 77.0
28 14 78.0
28 15 67.0
28 16 69.0
28 17 63.0
28 18 59.0
28 19 63.0
28 20 49.0
28 21 47.0
28 22 44.0
28 23 33.0
28 24 30.0
28 25 23.0
28 26 17.0
28 27 19.0
28 28 26.0
28 29 25.0
28 30 14.0
28 31 8.0
28 32 8.0
28 33 12.0
28 34 12.0
28 35 19.0
28 36 25.0
28 37 26.0
28 38 30.0
28 39 34.0
28 40 37.0
28 41 41.0
28 42 46.0
28 43 50.0
28 44 46.0
28 45 47.0
28 46 53.0
28 47 62.0
29 0 41.0
29 1 28.0
29 2 39.0
29 3 44.0
29 4 30.0
29 5 34.0
29 6 44.0
29 7 57.0
29 8 56.0
29 9 62.0
29 10 67.0
29 11 72.0
29 12 71.0
29 13 76.0
29 14 77.0
29 15 66.0
29 16 68.0
29 17 62.0
29 18 58.0
29 19 62.0
29 20 48.0
29 21 46.0
29 22 43.0
29 23 32.0
29 24 29.0
29 25 22.0
29 26 16.0
29 27 18.0
29 28 25.0
29 29 24.0
29 30 13.0
29 31 7.0
29 32 7.0
29 33 11.0
29 34 11.0
29 35 18.0
29 36 24.0
29 37 25.0
29 38 29.0
29 39 33.0
29 40 36.0
29 41 40.0
29 42 45.0
29 43 49.0
29 44 45.0
29 45 46.0
29 46 52.0
29 47 61.0
30 0 38.0
30 1 25.0
30 2 36.0
30 3 41.0
30 4 27.0
30 5 31.0
30 6 41.0
30 7 54.0
30 8 53.0
30 9 59.0
30 10 64.0
30 11 69.0
30 12 68.0
30 13 73.0
30 14 74.0
30 15 63.0
30 16 65.0
30 17 59.0
30 18 55.0
30 19 59.0
30 20 45.0
30 21 43.0
30 22 40.0
30 23 29.0
30 24 26.0
30 25 19.0
30 26 13.0
30 27 15.0
30 28 22.0
30 29 21.0
30 30 10.0
30 31 4.0
30 32 4.0
30 33 8.0
30 34 8.0
30 35 15.0
30 36 21.0
30 37 22.0
30 38 26.0
30 39 30.0
30 40 33.0
30 41 37.0
30 42 42.0
30 43 46.0
30 44 42.0
30 45 43.0
