x y fscore
0.838 0.384 0.678
0.808 0.412 0.678
0.838 0.384 0.678
0.817 0.403 0.678
0.754 0.482 0.677
0.861 0.365 0.677
0.854 0.370 0.677
0.703 0.589 0.677
0.830 0.389 0.677
0.712 0.565 0.677
0.957 0.312 0.677
0.836 0.384 0.677
0.836 0.384 0.677
0.805 0.412 0.676
0.860 0.365 0.676
0.766 0.461 0.676
0.727 0.528 0.676
0.836 0.383 0.676
0.704 0.584 0.676
0.734 0.513 0.676
0.779 0.442 0.676
0.852 0.369 0.676
0.718 0.546 0.676
0.835 0.382 0.675
0.822 0.394 0.675
0.727 0.525 0.675
0.751 0.481 0.675
0.801 0.414 0.675
0.817 0.397 0.675
0.817 0.397 0.675
0.692 0.614 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.839 0.378 0.674
0.949 0.312 0.674
0.816 0.398 0.674
0.751 0.479 0.674
0.718 0.542 0.674
0.733 0.509 0.674
0.714 0.549 0.674
0.835 0.380 0.674
0.759 0.465 0.674
0.835 0.380 0.673
0.817 0.395 0.673
0.831 0.382 0.673
0.729 0.514 0.673
0.861 0.359 0.673
0.848 0.368 0.673
0.791 0.420 0.672
0.743 0.487 0.672
0.820 0.391 0.672
0.929 0.319 0.672
0.812 0.398 0.672
0.710 0.554 0.672
0.820 0.390 0.672
0.820 0.390 0.672
0.754 0.469 0.672
0.856 0.361 0.672
0.745 0.482 0.672
0.709 0.555 0.671
0.959 0.305 0.671
0.811 0.397 0.671
0.747 0.477 0.671
0.752 0.469 0.671
0.750 0.472 0.671
0.804 0.403 0.671
0.749 0.473 0.671
0.836 0.374 0.671
0.741 0.485 0.670
0.772 0.439 0.670
0.824 0.384 0.670
0.802 0.404 0.670
0.689 0.604 0.670
0.836 0.373 0.670
0.845 0.366 0.670
0.712 0.541 0.670
0.956 0.304 0.669
0.831 0.376 0.669
0.691 0.594 0.669
0.934 0.314 0.669
0.814 0.390 0.669
0.832 0.375 0.669
0.840 0.368 0.669
0.830 0.376 0.669
0.948 0.307 0.668
0.823 0.381 0.668
0.849 0.361 0.668
0.761 0.450 0.668
0.838 0.369 0.668
0.714 0.532 0.668
0.871 0.346 0.668
0.813 0.390 0.668
0.849 0.360 0.668
0.766 0.441 0.668
0.829 0.375 0.667
0.726 0.505 0.667
0.789 0.413 0.667
0.708 0.542 0.667
0.748 0.465 0.667
0.698 0.565 0.667
0.788 0.413 0.667
0.933 0.311 0.667
0.753 0.456 0.667
0.848 0.359 0.666
0.738 0.480 0.666
0.837 0.367 0.666
0.739 0.478 0.666
0.792 0.407 0.666
0.719 0.515 0.666
0.771 0.432 0.666
0.805 0.393 0.666
0.829 0.373 0.666
0.809 0.389 0.665
0.747 0.463 0.665
0.817 0.382 0.665
0.754 0.451 0.665
0.929 0.311 0.665
0.831 0.369 0.665
0.831 0.369 0.665
0.746 0.463 0.665
0.929 0.311 0.665
0.685 0.594 0.665
0.799 0.397 0.665
0.753 0.451 0.664
0.740 0.471 0.664
0.722 0.502 0.664
0.738 0.474 0.664
0.800 0.394 0.664
0.795 0.400 0.663
0.753 0.449 0.663
0.835 0.364 0.663
0.956 0.298 0.663
0.752 0.450 0.663
0.835 0.363 0.663
0.767 0.429 0.663
0.684 0.589 0.662
0.747 0.456 0.662
0.829 0.367 0.662
0.777 0.416 0.662
0.934 0.306 0.662
0.869 0.339 0.662
